Item,Rev,"MACHINE
MMMN","SYSTEM
SSS",N,"EQUIP
EEE",N,"DEVICE
DDD",N,m,N,"Instrument
Tag","Instrument
Type","System
[Machine System]","Machine Location
[Location 1]","Description Line 1
[Location 2]","Description Line 2
[Function]","Description Line 3
[Instrument Type]",DESCRIPTION,Junction Boxes,Destination Panel,I/O TYPE,Scope of Supply,Manufacturer,Model,FIELD,"EXTENSION
BOX",BRACKET,SUPPLY: PCL PACKAGE #,INSTALL: PCL PACKAGE #,Typical Instrument,DRAWINGS,,,,COMMENT 2024-06-26,"BLOCK DIAGRAM CHK
2024-06-26",INSTRUMENT LAYOUT INSERTED,,Cross check with customer spec (Preferred Model) GK 2024-11-15,,,External Docs,,Vendor Drawing Info
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,C,SL3,BC,,,,,,ZLS,3,SL3-BC-ZLS3,Limit Switch ,Shiploader 3,Boom Conveyor,"Left Side, Tail End",,Misalignment Switch,"Shiploader 3 Boom Conveyor Left Side, Tail End Misalignment Switch",,SL3-BC-RCP1,DI,QCA,Eaton,AFA20-S752,,,,,,,,,,,,SL3-MEH-ACP1,,,BELT ALIGNMENT? AFA,,,,,
26,C,SL3,BC,,,,,,ZLS,4,SL3-BC-ZLS4,Limit Switch ,Shiploader 3,Boom Conveyor,"Right Side, Tail End",,Misalignment Switch,"Shiploader 3 Boom Conveyor Right Side, Tail End Misalignment Switch",,SL3-BC-RCP1,DI,QCA,Eaton,AFA20-S752,,,,,,,,,,,,SL3-MEH-ACP1,,,BELT ALIGNMENT? AFA,,,,,
27,C,SL3,BC,,,,,,ZLS,5,SL3-BC-ZLS5,Limit Switch ,Shiploader 3,Boom Conveyor,"Left Side, Head End",,Misalignment Switch,"Shiploader 3 Boom Conveyor Left Side, Head End Misalignment Switch",,SL3-BC-RCP1,DI,QCA,Eaton,AFA20-S752,,,,,,,,,,,,,,,BELT ALIGNMENT? AFA,,,,,
28,C,SL3,BC,,,,,,ZLS,6,SL3-BC-ZLS6,Limit Switch ,Shiploader 3,Boom Conveyor,"Right Side, Head End",,Misalignment Switch,"Shiploader 3 Boom Conveyor Right Side, Head End Misalignment Switch",,SL3-BC-RCP1,DI,QCA,Eaton,AFA20-S752,,,,,,,,,,,,,,,BELT ALIGNMENT? AFA,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,C,SL3,BC,,,,,,ZT,1,SL3-BC-ZT1,Inclinometer,Shiploader 3,Boom Conveyor,,,Inclinometer,Shiploader 3 Boom Conveyor Inclinometer,,SL3-BC-RCP1,4-20 mA,QCA,P+F,INX360D-F99-I2E2-5M,,,,,,,,2024-06-20 00:00:00,Moved from BH to BC area,,ZT1? ZT2? PANEL?,SL3-BC-RCP1,,,No Spec,,,,,
31,C,SL3,BC,,,,,,LSHH,1,SL3-BC-LSHH1,Level Switch High Trip,Shiploader 3,Boom Conveyor,Head Chute,Plugged Chute,Tilt Switch,Shiploader 3 Boom Conveyor Head Chute Plugged Chute Tilt Switch,,SL3-BC-RCP1,4-20 mA,QCA,CCC,CT-200SGN and CT-105,,,,,,,,2024-06-20 00:00:00,Moved from BH to BC area,,ZT1? ZT2? PANEL?,SL3-BC-RCP1,,,No Spec,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,C,SL3,BC,,,,,,IPC,1,SL3-BC-IPC1,IP Camera,Shiploader 3,Boom Conveyor,Left Side View,,IP Camera,Shiploader 3 Boom Conveyor Left Side View IP Camera,,SL3-BC-RCP1,DI,QCA,AXIS,Q3538-SLVE,,,,,,,,,,,,,,,,,,,,
34,C,SL3,BC,,,,,,IPC,2,SL3-BC-IPC2,IP Camera,Shiploader 3,Boom Conveyor,Right Side View,,IP Camera,Shiploader 3 Boom Conveyor Right Side View IP Camera,,SL3-BC-RCP1,DI,QCA,AXIS,Q3538-SLVE,,,,,,,,,,,,,,,AB 800H?,,,,,
35,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,C,SL3,BC,,,,,,ZPX,1,SL3-BC-ZPX1,Proximity Switch ,Shiploader 3,Boom Conveyor,Boom End,Water Accumulation,Level Switch,Shiploader 3 Boom Conveyor Boom End Water Accumulation Level Switch,,SL3-BC-RCP1,DI,QCA,IFM,KI5083 and E11033,,,,,,,,,,,,,,,,,,,,
37,C,SL3,BC,,,,,,ZPX,2,SL3-BC-ZPX2,Proximity Switch ,Shiploader 3,Boom Conveyor,Boom End,Water Accumulation,Level Switch,Shiploader 3 Boom Conveyor Boom End Water Accumulation Level Switch,,SL3-BC-RCP1,DI,QCA,IFM,KI5083 and E11033,,,,,,,,,,,,,,,AB 800H?,,,,,
38,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,C,SL3,BCB,,,,,,,,,,Shiploader 3,Boom Conveyor Bridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,C,SL3,BCB,,,,,,ES,1,SL3-BCB-ES1,E-Stop PB ,Shiploader 3,Boom Conveyor Bridge,"Left Side, Tail End",Emergency Stop,Push Button,"Shiploader 3 Boom Conveyor Bridge Left Side, Tail End Emergency Stop Push Button",,SL3-MEH-ACP1,SI,QCA,"Hammond, Allen Bradley",1437S16A/800H-FRXT6A1,,,,,,,,,,,Y,SL3-BC-RCP1,,,AB 800H?,,,,,
41,C,SL3,BCB,,,,,,ES,2,SL3-BCB-ES2,E-Stop PB ,Shiploader 3,Boom Conveyor Bridge,"Right Side, Tail End",Emergency Stop,Push Button,"Shiploader 3 Boom Conveyor Bridge Right Side, Tail End Emergency Stop Push Button",,SL3-MEH-ACP1,SI,QCA,"Hammond, Allen Bradley",1437S16A/800H-FRXT6A1,,,,,,,,,,,Y,SL3-BC-RCP1,,,AB 800H?,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,C,SL3,BCB,,,,,,PC,1,SL3-BCB-PC1,Pull Cord ,Shiploader 3,Boom Conveyor Bridge,"Left Side, Tail End",Emergency Stop,Pull Cord,"Shiploader 3 Boom Conveyor Bridge Left Side, Tail End Emergency Stop Pull Cord",,SL3-MEH-ACP1,SI,QCA,Crouse Hinds,AFU0333‐66,,,,,,,,,,,Y,SL3-MEH-ACP1,,,Y,,,,,
44,C,SL3,BCB,,,,,,PC,2,SL3-BCB-PC2,Pull Cord ,Shiploader 3,Boom Conveyor Bridge,"Right Side, Tail End",Emergency Stop,Pull Cord,"Shiploader 3 Boom Conveyor Bridge Right Side, Tail End Emergency Stop Pull Cord",,SL3-MEH-ACP1,SI,QCA,Crouse Hinds,AFU0333‐66,,,,,,,,,,,Y,SL3-MEH-ACP1,,,Y,,,,,
45,C,SL3,BCB,,,,,,PC,3,SL3-BCB-PC3,Pull Cord ,Shiploader 3,Boom Conveyor Bridge,"Left Side, Head End",Emergency Stop,Pull Cord,"Shiploader 3 Boom Conveyor Bridge Left Side, Head End Emergency Stop Pull Cord",,SL3-MEH-ACP1,SI,QCA,Crouse Hinds,AFU0333‐66,,,,,,,,,,,Y,SL3-MEH-ACP1,,,Y,,,,,
46,C,SL3,BCB,,,,,,PC,4,SL3-BCB-PC4,Pull Cord ,Shiploader 3,Boom Conveyor Bridge,"Right Side, Head End",Emergency Stop,Pull Cord,"Shiploader 3 Boom Conveyor Bridge Right Side, Head End Emergency Stop Pull Cord",,SL3-MEH-ACP1,SI,QCA,Crouse Hinds,AFU0333‐66,,,,,,,,,,,Y,SL3-MEH-ACP1,,,Y,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,C,SL3,BCB,,,,,,YA,1,SL3-BCB-YA1,Warning Horn,Shiploader 3,Boom Conveyor,Left Side,Start Warning,Horn,Shiploader 3 Boom Conveyor Left Side Start Warning Horn,,SL3-MEH-ACP1,DO,QCA,Federal Signal,350WB-120,Y,,,,,,,,,,Y,SL3-BC-RCP1,,,G-STR? Horn no spec,,,,,
49,C,SL3,BCB,,,,,,YL,1,SL3-BCB-YL1,Warning Light,Shiploader 3,Boom Conveyor Bridge,Left Side,Start Warning,Light,Shiploader 3 Boom Conveyor Bridge Left Side Start Warning Light,,SL3-MEH-ACP1,DO,QCA,Federal Signal,G-STR-120-D-R,,,,,,,,,,,Y,SL3-MEH-ACP1,,,G-STR?,,,,,
50,C,SL3,BCB,,,,,,YL,2,SL3-BCB-YL2,Warning Light,Shiploader 3,Boom Conveyor Bridge,Right Side,Start Warning,Light,Shiploader 3 Boom Conveyor Bridge Right Side Start Warning Light,,SL3-MEH-ACP1,DO,QCA,Federal Signal,G-STR-120-D-R,,,,,,,,,,,Y,SL3-MEH-ACP1,,,G-STR?,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,D,SL3,BCB,,,,,,ZLS,1,SL3-BCB-ZLS1,Limit Switch ,Shiploader 3,Boom Conveyor Bridge,"Left Side, Tail End",,Misalignment Switch,"Shiploader 3 Boom Conveyor Bridge Left Side, Tail End Misalignment Switch",,SL3-MEH-ACP1,DI,QCA,Eaton,AFA20-S752,,,,,,,,,,,,SL3-MEH-ACP1,,,BELT ALIGNMENT? AFA,,,,,
53,D,SL3,BCB,,,,,,ZLS,2,SL3-BCB-ZLS2,Limit Switch ,Shiploader 3,Boom Conveyor Bridge,"Right Side, Tail End",,Misalignment Switch,"Shiploader 3 Boom Conveyor Bridge Right Side, Tail End Misalignment Switch",,SL3-MEH-ACP1,DI,QCA,Eaton,AFA20-S752,,,,,,,,,,,,SL3-MEH-ACP1,,,BELT ALIGNMENT? AFA,,,,,
54,D,SL3,BCB,,,,,,ZLS,3,SL3-BCB-ZLS3,Limit Switch ,Shiploader 3,Boom Conveyor Bridge,"Left Side, Head End",,Misalignment Switch,"Shiploader 3 Boom Conveyor Bridge Left Side, Head End Misalignment Switch",,SL3-MEH-ACP1,DI,QCA,Eaton,AFA20-S752,,,,,,,,,,,,,,,BELT ALIGNMENT? AFA,,,,,
55,D,SL3,BCB,,,,,,ZLS,4,SL3-BCB-ZLS4,Limit Switch ,Shiploader 3,Boom Conveyor Bridge,"Right Side, Head End",,Misalignment Switch,"Shiploader 3 Boom Conveyor Bridge Right Side, Head End Misalignment Switch",,SL3-MEH-ACP1,DI,QCA,Eaton,AFA20-S752,,,,,,,,,,,,,,,BELT ALIGNMENT? AFA,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"YA1, YA2 MISSING?",SL3-MEH-ACP1,,,,,,,,
57,D,SL3,BCB,,,,,,LSHH,1,SL3-BCB-LSHH1,Level Switch High Trip,Shiploader 3,Boom Conveyor Bridge,Incoming Chute,Plugged Chute,Tilt Switch,Shiploader 3 Boom Conveyor Bridge Incoming Chute Plugged Chute Tilt Switch,,SL3-MEH-ACP1,DI,QCA,CCC,CT-200SGN and CT-105,,,,,,,,,,,,,,,BELT ALIGNMENT? AFA,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"YA1, YA2 MISSING?",SL3-MEH-ACP1,,,,,,,,
59,D,SL3,BCB,,G,,,,ZPX,1,SL3-BCB-G-ZPX1,Proximity Switch ,Shiploader 3,Boom Conveyor Bridge,Safety Gate Status,Near E-house,Proximity Switch,Shiploader 3 Boom Conveyor Bridge Safety Gate Status Near E-house Proximity Switch,,SL3-MEH-ACP1,DI,QCA,Allen Bradley,871TM-B15N30-H2,,,,,,,,,,,,,,,BELT ALIGNMENT? AFA,,,,,
60,D,SL3,BCB,,G,,,,ZPX,2,SL3-BCB-G-ZPX2,Proximity Switch ,Shiploader 3,Boom Conveyor Bridge,Safety Gate Status,Near Discharge Pulley,Proximity Switch,Shiploader 3 Boom Conveyor Bridge Safety Gate Status Near Discharge Pulley Proximity Switch,,SL3-SLW-RCP1,DI,QCA,Allen Bradley,871TM-B15N30-H2,,,,,,,,,,,,,,,BELT ALIGNMENT? AFA,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"YA1, YA2 MISSING?",SL3-MEH-ACP1,,,,,,,,
62,C,SL3,BC,,,,,,,,,,Shiploader 3,Boom Conveyor,Drive System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,C,SL3,BC,,,,M,1,HE,1,SL3-BC-M1-HE1,Heater ,Shiploader 3,Boom Conveyor,Motor 1,,Space Heater,Shiploader 3 Boom Conveyor Motor 1 Space Heater,,,DO,VENDOR,,,,,,,,,,,,,Y,SL3-MEH-ACP1,,,,,Baldor Reliance,09 > 31 Baldor > 300 HP Motor,,
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,C,SL3,BC,,,,M,1,TE,1,SL3-BC-M1-TE1,Temperature Element,Shiploader 3,Boom Conveyor,Motor 1 Phase A,Winding Temperature,RTD 1,Shiploader 3 Boom Conveyor Motor 1 Phase A Winding Temperature RTD 1,,SL3-MEH-ACP1,RTD,VENDOR,,,,,,,,,,,,,Y,SL3-MEH-ACP1,,,,,Baldor Reliance,09 > 31 Baldor > 300 HP Motor,,
66,C,SL3,BC,,,,M,1,TE,2,SL3-BC-M1-TE2,Temperature Element,Shiploader 3,Boom Conveyor,Motor 1 Phase A,Winding Temperature,RTD 2,Shiploader 3 Boom Conveyor Motor 1 Phase A Winding Temperature RTD 2,,SL3-MEH-ACP1,RTD,VENDOR,,,,,,,,,,,,,Y,SL3-MEH-ACP1,,,,,Baldor Reliance,09 > 31 Baldor > 300 HP Motor,,
67,C,SL3,BC,,,,M,1,TE,3,SL3-BC-M1-TE3,Temperature Element,Shiploader 3,Boom Conveyor,Motor 1 Phase B,Winding Temperature,RTD 1,Shiploader 3 Boom Conveyor Motor 1 Phase B Winding Temperature RTD 1,,SL3-MEH-ACP1,RTD,VENDOR,,,,,,,,,,,,,Y,SL3-MEH-ACP1,,,,,Baldor Reliance,09 > 31 Baldor > 300 HP Motor,,
68,C,SL3,BC,,,,M,1,TE,4,SL3-BC-M1-TE4,Temperature Element,Shiploader 3,Boom Conveyor,Motor 1 Phase B,Winding Temperature,RTD 2,Shiploader 3 Boom Conveyor Motor 1 Phase B Winding Temperature RTD 2,,SL3-MEH-ACP1,RTD,VENDOR,,,,,,,,,,,,,Y,SL3-MEH-ACP1,,,,,Baldor Reliance,09 > 31 Baldor > 300 HP Motor,,
69,C,SL3,BC,,,,M,1,TE,5,SL3-BC-M1-TE5,Temperature Element,Shiploader 3,Boom Conveyor,Motor 1 Phase C,Winding Temperature,RTD 1,Shiploader 3 Boom Conveyor Motor 1 Phase C Winding Temperature RTD 1,,SL3-MEH-ACP1,RTD,VENDOR,,,,,,,,,,,,,Y,SL3-MEH-ACP1,,,,,Baldor Reliance,09 > 31 Baldor > 300 HP Motor,,
70,C,SL3,BC,,,,M,1,TE,6,SL3-BC-M1-TE6,Temperature Element,Shiploader 3,Boom Conveyor,Motor 1 Phase C,Winding Temperature,RTD 2,Shiploader 3 Boom Conveyor Motor 1 Phase C Winding Temperature RTD 2,,SL3-MEH-ACP1,RTD,VENDOR,,,,,,,,,,,,,Y,SL3-MEH-ACP1,,,,,Baldor Reliance,09 > 31 Baldor > 300 HP Motor,,
71,C,SL3,BC,,,,M,1,TE,7,SL3-BC-M1-TE7,Temperature Element,Shiploader 3,Boom Conveyor,Motor 1 Drive End,Bearing Temperature,RTD 1 ,Shiploader 3 Boom Conveyor Motor 1 Drive End Bearing Temperature RTD 1 ,,SL3-MEH-ACP1,RTD,VENDOR,,,,,,,,,,,,,Y,SL3-MEH-ACP1,,,,,Baldor Reliance,09 > 31 Baldor > 300 HP Motor,,
72,C,SL3,BC,,,,M,1,TE,8,SL3-BC-M1-TE8,Temperature Element,Shiploader 3,Boom Conveyor,Motor 1 Non Drive End,Bearing Temperature,RTD 1,Shiploader 3 Boom Conveyor Motor 1 Non Drive End Bearing Temperature RTD 1,,SL3-MEH-ACP1,RTD,VENDOR,,,,,,,,,,,,,Y,SL3-MEH-ACP1,,,,,Baldor Reliance,09 > 31 Baldor > 300 HP Motor,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,C,SL3,BC,,,,BK,1,ZPX,1,SL3-BC-BK1-ZPX1,Proximity Switch ,Shiploader 3,Boom Conveyor,Brake 1,Released,Proximity Switch,Shiploader 3 Boom Conveyor Brake 1 Released Proximity Switch,,SL3-MEH-ACP1,DI,VENDOR,,,Y,,,,,,,,,,Y,SL3-MEH-ACP1,,,,,Baldor Reliance,09 > 31 Baldor > 300 HP Motor,,
75,C,SL3,BC,,,,BK,1,ZPX,2,SL3-BC-BK1-ZPX2,Proximity Switch ,Shiploader 3,Boom Conveyor,Brake 1,Wear Monitoring,Proximity Switch,Shiploader 3 Boom Conveyor Brake 1 Wear Monitoring Proximity Switch,,SL3-MEH-ACP1,DI,VENDOR,,,Y,,,,,,,,,,Y,SL3-MEH-ACP1,,,,,Baldor Reliance,09 > 31 Baldor > 300 HP Motor,,
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,D,SL3,BC,,,,,,TT,1,SL3-BC-TT1,Temperature Transmitter,Shiploader 3,Boom Conveyor,Driven Pulley,Left Side Bearing,Temperature Transmitter,Shiploader 3 Boom Conveyor Driven Pulley Left Side Bearing Temperature Transmitter,,SL3-MEH-ACP1,AI,QCA,Electro Sensors,TT420S-LT,,,,,,,,,,,,,,,BELT ALIGNMENT? AFA,,,,,
78,D,SL3,BC,,,,,,TT,2,SL3-BC-TT2,Temperature Transmitter,Shiploader 3,Boom Conveyor,Driven Pulley,Right Side Bearing,Temperature Transmitter,Shiploader 3 Boom Conveyor Driven Pulley Right Side Bearing Temperature Transmitter,,SL3-MEH-ACP1,AI,QCA,Electro Sensors,TT420S-LT,,,,,,,,,,,,,,,BELT ALIGNMENT? AFA,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
