Item,Rev,"MACHINE
MMMN","SYSTEM
SSS",N,"EQUIP
EEE",N,"DEVICE
DDD",N,m,N,"Instrument
Tag","Instrument
Type","System
[Machine System]","Machine Location
[Location 1]","Description Line 1
[Location 2]","Description Line 2
[Function]","Description Line 3
[Instrument Type]",DESCRIPTION,Junction Boxes,Destination Panel,I/O TYPE,Scope of Supply,Manufacturer,Model,FIELD,"EXTENSION
BOX",BRACKET,SUPPLY: PCL PACKAGE #,INSTALL: PCL PACKAGE #,Typical Instrument,DRAWINGS,,,,COMMENT 2024-06-26,"BLOCK DIAGRAM CHK
2024-06-26",INSTRUMENT LAYOUT INSERTED,,Cross check with customer spec (Preferred Model) GK 2024-11-15,,,External Docs,,Vendor Drawing Info
80,C,SL3,BC,,,,GB,1,TT,1,SL3-BC-GB1-TT1,Temperature Transmitter,Shiploader 3,Boom Conveyor,Gearbox Oil,,Temperature Transmitter,Shiploader 3 Boom Conveyor Gearbox Oil Temperature Transmitter,,SL3-MEH-ACP1,4-20 mA,VENDOR,,,,,,,,,,62,,,Y,SL3-MEH-ACP1,,,,,,,,
81,C,SL3,BC,,,,GB,1,LSL,1,SL3-BC-GB1-LSL1,Level Switch Low Warning,Shiploader 3,Boom Conveyor,Gearbox Oil,Low Oil,Level Switch,Shiploader 3 Boom Conveyor Gearbox Oil Low Oil Level Switch,,,DI,VENDOR,,,,,,,,,,,,,Y,SL3-MEH-ACP1,,,,,,,,
82,C,SL3,BC,,,,GB,1,LSLL,1,SL3-BC-GB1-LSLL1,Level Switch Low Trip,Shiploader 3,Boom Conveyor,Gearbox Oil,Low-Low Oil,Level Switch,Shiploader 3 Boom Conveyor Gearbox Oil Low-Low Oil Level Switch,,,DI,VENDOR,,,,,,,,,,,,,Y,SL3-MEH-ACP1,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SL3-BC-GB1-TT2 DELETED?,SL3-MEH-ACP1,,,,,,,,
84,,,BH,,,,,,,,,,Shiploader 3,Boom Conveyor,LCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,C,SL3,BC,,,,LCS,1,PL,1,SL3-BC-LCS1-PL1,Pilot Light ,Shiploader 3,Boom Conveyor,,Maintenance Mode Active,Pilot Light,Shiploader 3 Boom Conveyor Maintenance Mode Active Pilot Light,,SL3-MEH-ACP1,DO,QCA,Allen Bradley,800H-QRH2W,,,,,,,,,,,,,,,G-STR?,,,,,
86,C,SL3,BC,,,,LCS,1,PBL,1A,SL3-BC-LCS1-PBL1A,Push Button/Pilot Light,Shiploader 3,Boom Conveyor,Brake Jog,Open,Push Button,Shiploader 3 Boom Conveyor Brake Jog Open Push Button,,SL3-MEH-ACP1,DI,QCA,Allen Bradley,800H-QRBH2W,,,,,,,,,,,,,,,AB 800H?,,,,,
87,C,SL3,BC,,,,LCS,1,PBL,1B,SL3-BC-LCS1-PBL1B,Push Button/Pilot Light,Shiploader 3,Boom Conveyor,Brake Jog,Open,Pilot Light,Shiploader 3 Boom Conveyor Brake Jog Open Pilot Light,,SL3-MEH-ACP1,DI,QCA,Allen Bradley,800H-QRBH2W,,,,,,,,,,,,,,,AB 800H?,,,,,
88,C,SL3,BC,,,,LCS,1,PB,2,SL3-BC-LCS1-PB2,Push Button ,Shiploader 3,Boom Conveyor,Jog,,Push Button,Shiploader 3 Boom Conveyor Jog Push Button,,SL3-MEH-ACP1,DI,QCA,Allen Bradley,800H-AR2D1,,,,,,,,,,,,,,,AB 800H?,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,SL3,SL3,,,,,,,,,,,Shiploader 3,Boom Conveyor,HPU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,C,SL3,BC,,HPU,1,,,ZLS,1,SL3-BC-HPU1-ZLS1,Limit Switch ,Shiploader 3,Boom Conveyor,Take-Up HPU,Oil Low  Shut Down,Limit Switch,Shiploader 3 Boom Conveyor Take-Up HPU Oil Low  Shut Down Limit Switch,,,DI,QCA,CCC,TA-2-TPS,Y,,,,,,,,,,Y,SL3-MEH-ACP1,,,No Spec?,,,,,
92,C,SL3,BC,,HPU,1,,,ZLS,2,SL3-BC-HPU1-ZLS2,Limit Switch ,Shiploader 3,Boom Conveyor,Take-Up HPU,Lower,Limit Switch,Shiploader 3 Boom Conveyor Take-Up HPU Lower Limit Switch,,,DI,QCA,CCC,TA-2-TPS,Y,,,,,,,,,,Y,SL3-MEH-ACP1,,,No Spec?,,,,,
93,C,SL3,BC,,HPU,1,,,PT,3,SL3-BC-HPU1-PT3,Pressure Transmitter,Shiploader 3,Boom Conveyor,Take-Up HPU,System,Pressure Transmitter,Shiploader 3 Boom Conveyor Take-Up HPU System Pressure Transmitter,,,4-20 mA,VENDOR,,,,,,,,,,,,,Y,SL3-MEH-ACP1,,,,,Janox,09 > 10 > 50 > 20 Hydraulic Janox 22 Oct 2024,,
94,C,SL3,BC,,HPU,1,LCS,1,PB,,,Push Button ,Shiploader 3,Boom Conveyor,Take-Up HPU,Local Mode,Push Button,,,,DI,QCA,,,,,,,,,,,,,MISSING,,,,AB 800H?,,,,,
95,C,SL3,BC,,HPU,1,LCS,1,PB,,,Push Button ,Shiploader 3,Boom Conveyor,Take-Up HPU,Remote Mode,Push Button,,,,DI,QCA,,,,,,,,,,,,,MISSING,,,,AB 800H?,,,,,
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,F,SL3,BC,,HPU,1,,,LSL,1,SL3-BC-HPU1-LSL1,Level Switch Low Warning,Shiploader 3,Boom Conveyor,Take-Up HPU,Low Oil Warning,Level Switch,Shiploader 3 Boom Conveyor Take-Up HPU Low Oil Warning Level Switch,,SL3-MEH-ACP1,DI,VENDOR,,,,,,,,,,,,,,,,,,,,09 > 10 > 50 > 20 Hydraulic Janox 22 Oct 2024,,LS1
98,F,SL3,BC,,HPU,1,,,LSLL,1,SL3-BC-HPU1-LSLL1,Level Switch Low Trip,Shiploader 3,Boom Conveyor,Take-Up HPU,Low Low Oil Shutdown,Level Switch,Shiploader 3 Boom Conveyor Take-Up HPU Low Low Oil Shutdown Level Switch,,SL3-MEH-ACP1,DI,VENDOR,,,,,,,,,,,,,,,,,,,,09 > 10 > 50 > 20 Hydraulic Janox 22 Oct 2024,,LS2
99,F,SL3,BC,,HPU,1,,,LT,1,SL3-BC-HPU1-LT1,Level Transmitter (Ultrasonic that give 4-20mA output) ,Shiploader 3,Boom Conveyor,Take-Up HPU,Oil Level,Transmitter,Shiploader 3 Boom Conveyor Take-Up HPU Oil Level Transmitter,,SL3-MEH-ACP1,4-20 mA,VENDOR,,,,,,,,,,,,,,,,,,,,09 > 10 > 50 > 20 Hydraulic Janox 22 Oct 2024,,LT
100,F,SL3,BC,,HPU,1,,,TT,1,SL3-BC-HPU1-TT1,Temperature Transmitter,Shiploader 3,Boom Conveyor,Take-Up HPU,Oil Temperature,Transmitter,Shiploader 3 Boom Conveyor Take-Up HPU Oil Temperature Transmitter,,SL3-MEH-ACP1,4-20 mA,VENDOR,,,,,,,,,,,,,,,,,,,,09 > 10 > 50 > 20 Hydraulic Janox 22 Oct 2024,,TT
101,F,SL3,BC,,HPU,1,,,PSH,1,SL3-BC-HPU1-PSH1,Pressure Switch High Warning ,Shiploader 3,Boom Conveyor,Take-Up HPU,Pressure Filter Plugged,Switch,Shiploader 3 Boom Conveyor Take-Up HPU Pressure Filter Plugged Switch,,SL3-MEH-ACP1,DI,VENDOR,,,,,,,,,,,,,,,,,,,,09 > 10 > 50 > 20 Hydraulic Janox 22 Oct 2024,,PS1
102,F,SL3,BC,,HPU,1,,,PSH,2,SL3-BC-HPU1-PSH2,Pressure Switch High Warning ,Shiploader 3,Boom Conveyor,Take-Up HPU,Return Filter Plugged,Switch,Shiploader 3 Boom Conveyor Take-Up HPU Return Filter Plugged Switch,,SL3-MEH-ACP1,DI,VENDOR,,,,,,,,,,,,,,,,,,,,09 > 10 > 50 > 20 Hydraulic Janox 22 Oct 2024,,PS2
103,F,SL3,BC,,HPU,1,,,S,1,SL3-BC-HPU1-S1,Valve Switch,Shiploader 3,Boom Conveyor,Take-Up HPU,Suction Valve Open ,Switch,Shiploader 3 Boom Conveyor Take-Up HPU Suction Valve Open  Switch,,SL3-MEH-ACP1,DI,VENDOR,,,,,,,,,,,,,,,,,,,,09 > 10 > 50 > 20 Hydraulic Janox 22 Oct 2024,,OS1
104,C,SL3,BC,,HPU,1,,,PIT,1,SL3-BC-HPU1-PIT1,Pressure Transmitter with Local Indicator ,Shiploader 3,Boom Conveyor,Take-Up HPU,Accumulator,Pressure Transmitter,Shiploader 3 Boom Conveyor Take-Up HPU Accumulator Pressure Transmitter,,SL3-MEH-ACP1,4-20 mA,VENDOR,,,,,,,,,,,,,Y,SL3-MEH-ACP1,,,,,Janox,09 > 10 > 50 > 20 Hydraulic Janox 22 Oct 2024,,
105,C,SL3,BC,,HPU,1,,,PT,2,SL3-BC-HPU1-PT2,Pressure Transmitter,Shiploader 3,Boom Conveyor,Take-Up HPU,Take-Up Cylinder,Pressure Transmitter,Shiploader 3 Boom Conveyor Take-Up HPU Take-Up Cylinder Pressure Transmitter,,SL3-MEH-ACP1,4-20 mA,VENDOR,,,,,,,,,,,,,Y,SL3-MEH-ACP1,,,,,Janox,09 > 10 > 50 > 20 Hydraulic Janox 22 Oct 2024,,
106,F,SL3,BC,,HPU,1,,,OS,1,SL3-BC-HPU1-OS1,Oil Sensor,Shiploader 3,Boom Conveyor,Take-Up HPU,Oil in Tray,Switch,Shiploader 3 Boom Conveyor Take-Up HPU Oil in Tray Switch,,SL3-MEH-ACP1,DI,VENDOR,,,,,,,,,,,,,,,,,,,,09 > 10 > 50 > 20 Hydraulic Janox 22 Oct 2024,,S1
107,F,SL3,BC,,HPU,1,,,SV,1B,SL3-BC-HPU1-SV1B,"Solenoid Valve, Control Valve ",Shiploader 3,Boom Conveyor,Take-Up HPU,Unloader,Solenoid Valve,Shiploader 3 Boom Conveyor Take-Up HPU Unloader Solenoid Valve,,SL3-MEH-ACP1,DO,VENDOR,,,,,,,,,,,,,MISSING,,,,,,Janox,09 > 10 > 50 > 20 Hydraulic Janox 22 Oct 2024,,SV1B
108,F,SL3,BC,,HPU,1,,,SV,2A,SL3-BC-HPU1-SV2A,"Solenoid Valve, Control Valve ",Shiploader 3,Boom Conveyor,Cassette Cylinders,Extend,Solenoid Valve,Shiploader 3 Boom Conveyor Cassette Cylinders Extend Solenoid Valve,,SL3-MEH-ACP1,DO,VENDOR,,,,,,,,,,,,,,,,,,,,09 > 10 > 50 > 20 Hydraulic Janox 22 Oct 2024,,SV2A
109,F,SL3,BC,,HPU,1,,,SV,2B,SL3-BC-HPU1-SV2B,"Solenoid Valve, Control Valve ",Shiploader 3,Boom Conveyor,Cassette Cylinders,Retract,Solenoid Valve,Shiploader 3 Boom Conveyor Cassette Cylinders Retract Solenoid Valve,,SL3-MEH-ACP1,DO,VENDOR,,,,,,,,,,,,,MISSING,,,,,,Janox,09 > 10 > 50 > 20 Hydraulic Janox 22 Oct 2024,,SV2B
110,F,SL3,BC,,HPU,1,,,SV,3A,SL3-BC-HPU1-SV3A,"Solenoid Valve, Control Valve ",Shiploader 3,Boom Conveyor,Cut-off Gate Cylinders,Extend,Solenoid Valve,Shiploader 3 Boom Conveyor Cut-off Gate Cylinders Extend Solenoid Valve,,SL3-MEH-ACP1,DO,VENDOR,,,,,,,,,,,,,,,,,,,,09 > 10 > 50 > 20 Hydraulic Janox 22 Oct 2024,,SV3A
111,F,SL3,BC,,HPU,1,,,SV,3B,SL3-BC-HPU1-SV3B,"Solenoid Valve, Control Valve ",Shiploader 3,Boom Conveyor,Cut-off Gate Cylinders,Retract,Solenoid Valve,Shiploader 3 Boom Conveyor Cut-off Gate Cylinders Retract Solenoid Valve,,SL3-MEH-ACP1,DO,VENDOR,,,,,,,,,,,,,MISSING,,,,,,Janox,09 > 10 > 50 > 20 Hydraulic Janox 22 Oct 2024,,SV3B
112,F,SL3,BC,,HPU,1,,,SV,4A,SL3-BC-HPU1-SV4A,"Solenoid Valve, Control Valve ",Shiploader 3,Boom Conveyor,Take-Up Cylinders,Extend,Solenoid Valve,Shiploader 3 Boom Conveyor Take-Up Cylinders Extend Solenoid Valve,,SL3-MEH-ACP1,DO,VENDOR,,,,,,,,,,,,,,,,,,,,09 > 10 > 50 > 20 Hydraulic Janox 22 Oct 2024,,SV4A
113,F,SL3,BC,,HPU,1,,,SV,4B,SL3-BC-HPU1-SV4B,"Solenoid Valve, Control Valve ",Shiploader 3,Boom Conveyor,Take-Up Cylinders,Retract,Solenoid Valve,Shiploader 3 Boom Conveyor Take-Up Cylinders Retract Solenoid Valve,,SL3-MEH-ACP1,DO,VENDOR,,,,,,,,,,,,,,,,,,,,09 > 10 > 50 > 20 Hydraulic Janox 22 Oct 2024,,SV4B
114,F,SL3,BC,,HPU,1,,,SV,5,SL3-BC-HPU1-SV5,"Solenoid Valve, Control Valve ",Shiploader 3,Boom Conveyor,Take-Up HPU,Accumulator Dump,Solenoid Valve,Shiploader 3 Boom Conveyor Take-Up HPU Accumulator Dump Solenoid Valve,,SL3-MEH-ACP1,DO,VENDOR,,,,,,,,,,,,,,,,,,,,09 > 10 > 50 > 20 Hydraulic Janox 22 Oct 2024,,SV4B
115,C,SL3,BC,,HPU,1,,,HE,1,SL3-BC-HPU1-HE1,Heater ,Shiploader 3,Boom Conveyor,Take-Up HPU,Immersion,Oil Heater,Shiploader 3 Boom Conveyor Take-Up HPU Immersion Oil Heater,,SL3-MEH-ACP1,DO,VENDOR,,,,,,,,,,,,,Y,SL3-MEH-ACP1,,,,,Janox,09 > 10 > 50 > 20 Hydraulic Janox 22 Oct 2024,,Immersion Heater
116,F,SL3,BC,,HPU,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,C,SL3,BC,,HPU,1,,,ZT,1,SL3-BC-HPU1-ZT1,"Position Transmitter, Encoder ",Shiploader 3,Boom Conveyor,Take-Up,Left Cylinder,Temposonic,Shiploader 3 Boom Conveyor Take-Up Left Cylinder Temposonic,,SL3-MEH-ACP1,4-20 mA,VENDOR,,,,,,,,,,,,,Y,SL3-MEH-ACP1,,,,,Janox,09 > 10 > 50 > 20 Hydraulic Janox 22 Oct 2024,,
118,C,SL3,BC,,HPU,1,,,ZT,2,SL3-BC-HPU1-ZT2,"Position Transmitter, Encoder ",Shiploader 3,Boom Conveyor,Take-Up,Right Cylinder,Temposonic,Shiploader 3 Boom Conveyor Take-Up Right Cylinder Temposonic,,SL3-MEH-ACP1,4-20 mA,VENDOR,,,,,,,,,,,,,Y,SL3-MEH-ACP1,,,,,Janox,09 > 10 > 50 > 20 Hydraulic Janox 22 Oct 2024,,
119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,C,SL3,BC,,HPU,1,LCS,1,PBL,1A,SL3-BC-HPU1-LCS1-PBL1A,Push Button/Pilot Light,Shiploader 3,Boom Conveyor,Take-Up HPU LCS,Start HPU Motor,Push Button,Shiploader 3 Boom Conveyor Take-Up HPU LCS Start HPU Motor Push Button,,SL3-MEH-ACP1,DI,QCA,Allen Bradley,800H-QRBH2G,,,,,,,,,,,,,,,AB 800H?,,,,,
121,C,SL3,BC,,HPU,1,LCS,1,PBL,1B,SL3-BC-HPU1-LCS1-PBL1B,Push Button/Pilot Light,Shiploader 3,Boom Conveyor,Take-Up HPU LCS,Start HPU Motor,Pilot Light,Shiploader 3 Boom Conveyor Take-Up HPU LCS Start HPU Motor Pilot Light,,SL3-MEH-ACP1,DI,QCA,Allen Bradley,800H-QRBH2G,,,,,,,,,,,,,,,AB 800H?,,,,,
122,C,SL3,BC,,HPU,1,LCS,1,PB,2,SL3-BC-HPU1-LCS1-PB2,Push Button ,Shiploader 3,Boom Conveyor,Take-Up HPU LCS,Stop HPU Motor,Push Button,Shiploader 3 Boom Conveyor Take-Up HPU LCS Stop HPU Motor Push Button,,SL3-MEH-ACP1,DI,QCA,Allen Bradley,800H-AR6D2,,,,,,,,,,,MISSING,,,,AB 800H?,,,,,
123,C,SL3,BC,,HPU,1,LCS,1,PB,3,SL3-BC-HPU1-LCS1-PB3,Push Button ,Shiploader 3,Boom Conveyor,Take-Up HPU LCS,Take-Up Cylinders Extend,Push Button,Shiploader 3 Boom Conveyor Take-Up HPU LCS Take-Up Cylinders Extend Push Button,,SL3-MEH-ACP1,DI,QCA,Allen Bradley,800H-AR2D1,,,,,,,,,,,MISSING,,,,AB 800H?,,,,,
124,C,SL3,BC,,HPU,1,LCS,1,PB,4,SL3-BC-HPU1-LCS1-PB4,Push Button ,Shiploader 3,Boom Conveyor,Take-Up HPU LCS,Take-Up Cylinders Retract,Push Button,Shiploader 3 Boom Conveyor Take-Up HPU LCS Take-Up Cylinders Retract Push Button,,SL3-MEH-ACP1,DI,QCA,Allen Bradley,800H-AR2D1,,,,,,,,,,,MISSING,,,,AB 800H?,,,,,
125,C,SL3,BC,,HPU,1,LCS,1,PB,5,SL3-BC-HPU1-LCS1-PB5,Push Button ,Shiploader 3,Boom Conveyor,Take-Up HPU LCS,Cassette Cylinders Extend,Push Button,Shiploader 3 Boom Conveyor Take-Up HPU LCS Cassette Cylinders Extend Push Button,,SL3-MEH-ACP1,DI,QCA,Allen Bradley,800H-AR2D1,,,,,,,,,,,MISSING,,,,AB 800H?,,,,,
126,C,SL3,BC,,HPU,1,LCS,1,PB,6,SL3-BC-HPU1-LCS1-PB6,Push Button ,Shiploader 3,Boom Conveyor,Take-Up HPU LCS,Cassette Cylinders Retract,Push Button,Shiploader 3 Boom Conveyor Take-Up HPU LCS Cassette Cylinders Retract Push Button,,SL3-MEH-ACP1,DI,QCA,Allen Bradley,800H-AR2D1,,,,,,,,,,,MISSING,,,,AB 800H?,,,,,
127,C,SL3,BC,,HPU,1,LCS,1,PB,7,SL3-BC-HPU1-LCS1-PB7,Push Button ,Shiploader 3,Boom Conveyor,Take-Up HPU LCS,Cut-off Gate Cyl. Extend,Push Button,Shiploader 3 Boom Conveyor Take-Up HPU LCS Cut-off Gate Cyl. Extend Push Button,,SL3-MEH-ACP1,DI,QCA,Allen Bradley,800H-AR2D1,,,,,,,,,,,MISSING,,,,AB 800H?,,,,,
128,C,SL3,BC,,HPU,1,LCS,1,PB,8,SL3-BC-HPU1-LCS1-PB8,Push Button ,Shiploader 3,Boom Conveyor,Take-Up HPU LCS,Cut-off Gate Cyl. Retract,Push Button,Shiploader 3 Boom Conveyor Take-Up HPU LCS Cut-off Gate Cyl. Retract Push Button,,SL3-MEH-ACP1,DI,QCA,Allen Bradley,800H-AR2D1,,,,,,,,,,,MISSING,,,,AB 800H?,,,,,
129,C,SL3,BC,,HPU,1,LCS,1,PL,1,SL3-BC-HPU1-LCS1-PL1,Pilot Light ,Shiploader 3,Boom Conveyor,Take-Up HPU LCS,Maintenance Mode,Pilot Light,Shiploader 3 Boom Conveyor Take-Up HPU LCS Maintenance Mode Pilot Light,,SL3-MEH-ACP1,DO,QCA,Allen Bradley,800H-QRH2W,,,,,,,,2024-06-25 00:00:00,Added,,MISSING,,,,G-STR?,,,,,
130,C,SL3,BC,,HPU,1,LCS,1,PL,2,SL3-BC-HPU1-LCS1-PL2,Pilot Light ,Shiploader 3,Boom Conveyor,Take-Up HPU LCS,Tension Ok,Pilot Light,Shiploader 3 Boom Conveyor Take-Up HPU LCS Tension Ok Pilot Light,,SL3-MEH-ACP1,DO,QCA,Allen Bradley,800H-QRH2W,,,,,,,,2024-06-25 00:00:00,Added,,MISSING,,,,G-STR?,,,,,
131,C,SL3,BC,,HPU,1,LCS,1,PL,3,SL3-BC-HPU1-LCS1-PL3,Pilot Light ,Shiploader 3,Boom Conveyor,Take-Up HPU LCS,Tension High,Pilot Light,Shiploader 3 Boom Conveyor Take-Up HPU LCS Tension High Pilot Light,,SL3-MEH-ACP1,DO,QCA,Allen Bradley,800H-QRH2W,,,,,,,,,,,MISSING,,,,G-STR?,,,,,
132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,Slew Lube Unit 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,C,SL3,,,LU,1,,,LIT,1,SL3-LU1-LIT1,Level Transmitter with Local Indicator ,Shiploader 3,Slew Lube Unit 1,,,Level Transmitter,Shiploader 3 Slew Lube Unit 1 Level Transmitter,,SL3-MEH-ACP1,4-20 mA,VENDOR,,,,,,,,,,,,,,,,,,,Bijur Delimon,"09 > 10 > 50 > 21 Lub Dec 11, 2024",,
135,C,SL3,,,LU,1,,,SV,1,SL3-LU1-SV1,"Solenoid Valve, Control Valve ",Shiploader 3,Slew Lube Unit 1,,Line A,Solenoid Valve,Shiploader 3 Slew Lube Unit 1 Line A Solenoid Valve,,SL3-MEH-ACP1,DO,VENDOR,,,,,,,,,,,,,,,,,,,Bijur Delimon,"09 > 10 > 50 > 21 Lub Dec 11, 2024",,
136,C,SL3,,,LU,1,,,SV,2,SL3-LU1-SV2,"Solenoid Valve, Control Valve ",Shiploader 3,Slew Lube Unit 1,,Line B,Solenoid Valve,Shiploader 3 Slew Lube Unit 1 Line B Solenoid Valve,,SL3-MEH-ACP1,DO,VENDOR,,,,,,,,,,,,,,,,,,,Bijur Delimon,"09 > 10 > 50 > 21 Lub Dec 11, 2024",,
137,C,SL3,,,LU,1,,,SV,3,SL3-LU1-SV3,"Solenoid Valve, Control Valve ",Shiploader 3,Slew Lube Unit 1,,Refill,Solenoid Valve,Shiploader 3 Slew Lube Unit 1 Refill Solenoid Valve,,SL3-MEH-ACP1,DO,VENDOR,,,,,,,,,,,,,,,,,,,Bijur Delimon,"09 > 10 > 50 > 21 Lub Dec 11, 2024",,
138,C,SL3,,,LU,1,,,HE,1,SL3-LU1-HE1,Heater ,Shiploader 3,Slew Lube Unit 1,,,Space Heater,Shiploader 3 Slew Lube Unit 1 Space Heater,,SL3-MEH-DP1,,VENDOR,,,,,,,,,,,,,,,,,,,Bijur Delimon,"09 > 10 > 50 > 21 Lub Dec 11, 2024",,
139,C,SL3,,,LU,1,,,PIT,1,SL3-LU1-PIT1,Pressure Transmitter with Local Indicator ,Shiploader 3,Slew Lube Unit 1,End of Line @Left Slew Travel,Line A,Press. Ind. Trans.,Shiploader 3 Slew Lube Unit 1 End of Line @Left Slew Travel Line A Press. Ind. Trans.,,SL3-SLW-RCP1,DI,VENDOR,,,,,,,,,,,,,,,,,,,Bijur Delimon,"09 > 10 > 50 > 21 Lub Dec 11, 2024",,
140,C,SL3,,,LU,1,,,PIT,2,SL3-LU1-PIT2,Pressure Transmitter with Local Indicator ,Shiploader 3,Slew Lube Unit 1,End of Line @Left Slew Travel,Line B,Press. Ind. Trans.,Shiploader 3 Slew Lube Unit 1 End of Line @Left Slew Travel Line B Press. Ind. Trans.,,SL3-SLW-RCP1,DI,VENDOR,,,,,,,,,,,,,,,,,,,Bijur Delimon,"09 > 10 > 50 > 21 Lub Dec 11, 2024",,
141,C,SL3,,,LU,1,,,PSH,3,SL3-LU1-PSH3,Pressure Switch High Warning ,Shiploader 3,Slew Lube Unit 1,End of line,,Switch 3,Shiploader 3 Slew Lube Unit 1 End of line Switch 3,,,DI,VENDOR,,,,,,,,,,,,,,,,,,,Bijur Delimon,"09 > 10 > 50 > 21 Lub Dec 11, 2024",,
142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,Local Control Stations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,C,SL3,,,LU,1,LCS,1,PL,1,SL3-LU1-LCS1-PL1,Pilot Light ,Shiploader 3,Slew,Lubrication Unit 1,Maintenance Mode Active,Pilot Light,Shiploader 3 Slew Lubrication Unit 1 Maintenance Mode Active Pilot Light,,SL3-MEH-ACP1,DO,QCA,Allen Bradley,800H-QRH2W,,,,,,,,,,,,,,,G-STR?,,,,,
145,C,SL3,,,LU,1,LCS,1,PBL,1A,SL3-LU1-LCS1-PBL1A,Push Button/Pilot Light,Shiploader 3,Slew,Lubrication Unit 1,Lube Pump Jog,Push Button,Shiploader 3 Slew Lubrication Unit 1 Lube Pump Jog Push Button,,SL3-MEH-ACP1,DI/DO,QCA,Allen Bradley,800H-QRBH2W,,,,,,,,,,,,,,,AB 800H?,,,,,
146,C,SL3,BC,,LU,1,LCS,1,PBL,1B,SL3-BC-LU1-LCS1-PBL1B,Push Button/Pilot Light,Shiploader 3,Slew,Lubrication Unit 1,Lube Pump Jog,Pilot Light,Shiploader 3 Slew Lubrication Unit 1 Lube Pump Jog Pilot Light,,SL3-MEH-ACP1,DI,QCA,Allen Bradley,800H-QRBH2W,,,,,,,,,,,,,,,AB 800H?,,,,,
147,C,SL3,,,LU,1,LCS,1,PB,1,SL3-LU1-LCS1-PB1,Push Button ,Shiploader 3,Slew,Lubrication Unit 1,Lube Pump Cycle A,Push Button,Shiploader 3 Slew Lubrication Unit 1 Lube Pump Cycle A Push Button,,SL3-MEH-ACP1,DI,QCA,Allen Bradley,800H-AR2D1,,,,,,,,,,,,,,,AB 800H?,,,,,
148,C,SL3,,,LU,1,LCS,1,PB,2,SL3-LU1-LCS1-PB2,Push Button ,Shiploader 3,Slew,Lubrication Unit 1,Lube Pump Cycle B,Push Button,Shiploader 3 Slew Lubrication Unit 1 Lube Pump Cycle B Push Button,,SL3-MEH-ACP1,DI,QCA,Allen Bradley,800H-AR2D1,,,,,,,,,,,,,,,AB 800H?,,,,,
149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,Machine E-House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,D,SL3,MEH,,,,,,ES,1,SL3-MEH-ES1,E-Stop PB ,Shiploader 3,Machine E-House,,Emergency Stop,Push Button 1,Shiploader 3 Machine E-House Emergency Stop Push Button 1,,SL3-MEH-ACP1,SI,QCA,"Hammond, Allen Bradley",1437S16A/800H-FRXT6A1,,,,,,,,,Removed internal/external from description,,,,,,AB 800H?,,,,,
152,D,SL3,MEH,,,,,,ES,2,SL3-MEH-ES2,E-Stop PB ,Shiploader 3,Machine E-House,,Emergency Stop,Push Button 2,Shiploader 3 Machine E-House Emergency Stop Push Button 2,,,SI,QCA,"Hammond, Allen Bradley",1437S16A/800H-FRXT6A1,,,,,,,,,Removed internal/external from description,,,,,,AB 800H?,,,,,
153,C,SL3,MEH,,ACP,1,,,ES,3,SL3-MEH-ACP1-ES3,E-Stop PB ,Shiploader 3,Machine E-House,Emergency Stop,Maint. Cabin,Push Button,Shiploader 3 Machine E-House Emergency Stop Maint. Cabin Push Button,,,SI,QCA,"Hammond, Allen Bradley",1437S16A/800H-FRXT6A1,,,,,,,,,,,,,,,AB 800H?,,,,,
154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,C,SL3,MEH,,HVAC,1,,,R,4A,SL3-MEH-HVAC1-R4A,Relay ,Shiploader 3,Machine E-House,HVAC Unit 1,Power On Relay,,Shiploader 3 Machine E-House HVAC Unit 1 Power On Relay,,SL3-MEH-ACP1,DI,VENDOR,,,,,,,,,,,,,,,,,,,,,,
156,C,SL3,MEH,,HVAC,1,,,R,4B,SL3-MEH-HVAC1-R4B,Relay ,Shiploader 3,Machine E-House,HVAC Unit 1,Cooling 1 Alarm,Lockout Relay 1,Shiploader 3 Machine E-House HVAC Unit 1 Cooling 1 Alarm Lockout Relay 1,,SL3-MEH-ACP1,DI,VENDOR,,,,,,,,,,,,,,,,,,,,,,
