PLC LOOK UP TABLES,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLC PANELS,,,,CARD,TYPE,SIGNAL,I/O,PREFIX,SUFFIX,,,,,,,,,,,,,,,,,,,,,,,,,,MMM,Machine Full Name,,SSS,System Full Name,,EEE,Equipment Full Name,,DDD,QCA Device Full Name,WESTSHORE Full Name,,,,,EEE Equipment Abbreviations,Equipment Name,,DDD Device Abbreviations,Device Name + Description
,,,,1734-IE8C,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZPX,Proximity Switch ,"Position Switch, Proximity Switch ",17.0,ENC,Encoder,,,,,FSH,Flow Switch High Warning
,,,,1734-OE2C,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZR,"Position Radar Scanner, Switch, Controller ","Position Radar Scanner, Switch, Controller ",43.0,ESRP,Emergency Stop Relay Panel,,,,,,
,,,,1734-IR2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZT,"Position Transmitter, Encoder ","Position Transmitter, Encoder ",30.0,ES,Emergency E-Stop,,,,,FSHH,Flow Switch High Trip
,,,,1734-VHSC24,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FS,Filter Blocked Switch,,21.0,AEI,AEI Antenna,,,,,VE,Vibration Element (Accelerometer)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PBL,Push Button/Pilot Light,,23.0,AF,Fire Alarm,,,,,VT,Vibration Transmitter (Field device with 4-20mA output)
,,,,1734-OA4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IPC,IP Camera,,9.0,SE,Speed Switch,,,,,VIT,Vibration Transmitter with Local Indicator
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,SEL,Selector Switch,,,,,FCB,Feeder Circuit Breaker
,,,,1734-IB4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,SJB,Signal Junction Box,,,,,MS,Motor Starter
,,,,1734-OB4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,SURGE BIN,,,,,,OL,Over Load
,,,,1734-OX2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,SV,Solenoid Valve,,,,,,
,,,,1734-AENT,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,TC,Temperature Controller,,,,,,
,,,,1734-EP24DC,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,TCP,Temperature Control Panel,,,,,R,Relay
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,TE,Temperature Element,,,,,C,Contactor
,,,,1734-FPD,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,TOWER,,,,,,DBR,Dynamic Braking Resistor
,,,,1734-CTM,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,TS,Temperature Switch,,,,,UPS,Uninterrupted Power Supply
,,,,1734-VTM,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,TSH,High Temperature Switch,,,,,BHW,Boom Hoist Winch
,,,,1734-EPAC,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,TSL,Low Temperature Switch,,,,,FPS,Pull Station
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,TT,Temperature Transmitter,,,,,FSD,Smoke Detector
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,UPS,Uninterrupted Power Supply,,,,,FAS,Fire Alarm Siren
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,VALVE HOUSE,,,,,,FHD,Heat Detector
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,VE,Vibration Sensor,,,,,TEH,Temperature Element High Temp. Warning
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,VFD,Variable Speed Drive,,,,,TEHH,Temperature Element High Temp. Trip
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,WE,Load Cell,,,,,GPS,GPS System
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,WT,"Weight Scale, Weight Transmitter",,,,,ESR,E-Stop Relay
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,XPR,Fire Alarm Control Module,,,,,OCT,Oil Consistency
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,XS,Motion Switch,,,,,ACT,Anti Collision Transmitter
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,XT,2D Laser Scanner,,,,,HT,Humidity Transmitter
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,XTD,1D Laser Scanner,,,,,G,HVAC Fan On (hvac standard tag)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,YA,Alarm Horn,,,,,Y,Stage Cooling (hvac standard tag)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,YI,Status Light/Pilot Light,,,,,W,Stage Heat (hvac standard tag)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,YL,Alarm Light,,,,,FIRC,IR Camera
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,ZS,Limit Switch,,,,,FST,Smoke Transmitter
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,ZT,Position Transmitter/Inclinometer,,,,,FCOT,CO Transmitter
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,LE,Level Element,,,,,LS,Level Switch
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,DPR,Damper Actuator,,,,,FS,Filter Blocked Switch
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,PTC,PTC thermistors,,,,,TS,TEMPERATURE SWITCH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,FIT,Flow Transmitter,,,,,IPC ,IP CAMERA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,PIT,Pressure Transmitter,,,,,FC,Fluid Coupling
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,PS,Pressure Switch,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,YS,Relay Contactor,,,,,,
