PLC LOOK UP TABLES,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLC PANELS,,,,CARD,TYPE,SIGNAL,I/O,PREFIX,SUFFIX,,,,,,,,,,,,,,,,,,,,,,,,,,MMM,Machine Full Name,,SSS,System Full Name,,EEE,Equipment Full Name,,DDD,QCA Device Full Name,WESTSHORE Full Name,,,,,EEE Equipment Abbreviations,Equipment Name,,DDD Device Abbreviations,Device Name + Description
,,,,1794-OE4,AO,4-20mA,4,O_,-,0.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,2SB1 ,Surge Bin 2 Belt Feeder 1 ,,SP,Spout ,,MCC ,Motor Control Center ,,HE,Heater ,Heater ,7.0,CAM,Camera,,WT,Load Pin Junction Box,,YA,"Event Alarm, Warning Horn, Siren, Bell"
,,,,1794-OW8,O,24VDC/120VAC,8,O_,-,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,,,,,,,,,,,,,,,,,,2SB2 ,Surge Bin 2 Belt Feeder 2 ,,MH,Machine House ,,PDC ,Power Distribution Center ,,LE,Level Element (Ultrasonic Sensor that needs Controller) ,Level Element (Ultrasonic Sensor that needs Controller) ,56.0,FEEDER CONV.,,,MCC,Motor Control Center,,YL,"Event Light, Warning Light, Beacon, Strobe"
,,,,1794-OF4I,AO,4-20mA,4,O_,-,0.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,C5A ,Conveyor 5A ,,PEH,Portal Electrical House ,,TX ,Transformer ,,LIT,Level Transmitter with Local Indicator ,Level Transmitter with Local Indicator ,39.0,FLEX,Flex IO Control Panel,,PDC,Power Distribution Center,,YS,Light Sensor
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C6B ,Conveyor 6B ,,SHE,Slew Electrical House ,,DP ,Distribution Panel ,,LSH,"Level Switch High Warning (Tilt SW, Float SW) ","Level Switch High Warning (Tilt SW, Float SW) ",46.0,FSH,Flow Switch High,,,,,,
Controllogix,,,,1756-PA75,PS,120V,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,C9A ,Conveyor 9A ,,EEH,Elevator Car Electrical House ,,VFD ,Variable Speed Drive ,,LSHH,Level Switch High Trip,"Level Switch High Trip (Tilt SW, Float SW) ",22.0,FSL,Flow Switch Low,,,,,,
,,,,1756-L83ES,CPU,,1,CPU-,,,,,,,,,,,,,,,,,,,,,,,,,,,C9B ,Conveyor 9B ,,CAB,Operators Cabin ,,HVAC ,Heating Ventilation Air Conditioning Unit ,,LSL,Level Switch Low Warning,"Level Switch Low Warning (Tilt SW, Float SW) ",24.0,FOJB,Fiber Optic Junction Box,,TX,Transformer,,SV,"Solenoid Valve, Control Valve"
,,,,1756-L8SP,CPU,,1,SP-,,,,,,,,,,,,,,,,,,,,,,,,,,,SB2 ,Surge Bin 2 ,,ECR,Elevator Car ,,FCP,Fire Alarm Control Panel ,,LSLL,Level Switch Low Trip,"Level Switch Low Trip (Tilt SW, Float SW) ",21.0,FS,Flow Switch,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUB2 ,Substation 2 ,,MM,Main Machine ,,TCP ,Temperature Control Panel ,,LT,Level Transmitter (Ultrasonic that give 4-20mA output) ,Level Transmitter (Ultrasonic that give 4-20mA output) ,55.0,FLEX,Flex IO Control Panel,,,,,,
,,,,1756-EN2T,EN2T,,1,EN2T_,,,,,,,,,,,,,,,,,,,,,,,,,,,SUB3 ,Substation 3 ,,AP,Apex ,,MW ,Maintenance Winch ,,M,Motor  ,Motor  ,7.0,AS,Moisture Detector Switch,,LP,Distribution Panel,,PV,"Proportional Valve, Analog Controlled Valve"
,,,,1756-EN4TR,EN4TR,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUB3A ,Substation 3A ,,PY,Plyon ,,CA ,Crane ,,MS,Motor Starter ,Motor Starter ,14.0,PSH,Pressure Switch High,,VFD,Variable Speed Drive,,ZPX,"Position Switch, Proximity Switch"
