REV.,PLC PANEL,RACK,SLOT,CHANNEL,ADDRESS,MODULE,TYPE,SIGNAL,INSTR./EQUIP. TAG,I/O TAG,CHILD,Description 1,Description 2,Description 3,Description 4,EQUIP/INSTR. DESCRIPTION,Automation System,Wiring,Failed State Value,Units,Engineering Units Min,Engineering Units Max,Low-Low Value,Low Value,High Value,High-High Value,PLC IO Address,Automation Notes,Breaker Type,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,SL3-MEH-ACP1,02,06,00,O_0206-00,1734-OB8S,SDO,24VDC,SL3-MEH-ACP1-ESR3,SL3-MEH-ACP1-ESR3,,Shiploader 3,Machine E-House ACP1,Boom Conveyor Safety Stop,ESR3 Relay,Shiploader 3 Machine E-House ACP1 Boom Conveyor Safety Stop ESR3 Relay ,Precomm,x,,,,,,,,,SDO_0206.00,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,02,06,01,O_0206-01,1734-OB8S,SDO,24VDC,SL3-MEH-ACP1-ESR4,SL3-MEH-ACP1-ESR4,,Shiploader 3,Machine E-House ACP1,Boom Conveyor Safety Stop,ESR4 Relay,Shiploader 3 Machine E-House ACP1 Boom Conveyor Safety Stop ESR4 Relay ,Precomm,x,,,,,,,,,SDO_0206.01,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,02,06,02,O_0206-02,1734-OB8S,SDO,24VDC,,SPARE,,, ,,,  ,,,,,,,,,,,SDO_0206.02,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,02,06,03,O_0206-03,1734-OB8S,SDO,24VDC,,SPARE,,, ,,,  ,,,,,,,,,,,SDO_0206.03,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,02,06,04,O_0206-04,1734-OB8S,SDO,24VDC,,SPARE,,, ,,,  ,,,,,,,,,,,SDO_0206.04,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,02,06,05,O_0206-05,1734-OB8S,SDO,24VDC,,SPARE,,, ,,,  ,,,,,,,,,,,SDO_0206.05,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,02,06,06,O_0206-06,1734-OB8S,SDO,24VDC,,SPARE,,, ,,,  ,,,,,,,,,,,SDO_0206.06,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,02,06,07,O_0206-07,1734-OB8S,SDO,24VDC,,SPARE,,, ,,,  ,,,,,,,,,,,SDO_0206.07,,,SL3-MEH-ACP1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,SL3-MEH-ACP1,02,07,,FPD-0207,1734-FPD,,,,,,Power Distribution,,,,Power Distribution ,,,,,,,,,,,,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,02,07,00,O_0207-00,1734-OB8S,SDO,24VDC,SL3-MEH-ACP1-ESR5,SL3-MEH-ACP1-ESR5,,Shiploader 3,Machine E-House ACP1,Slew Safety Stop,ESR5 Relay,Shiploader 3 Machine E-House ACP1 Slew Safety Stop ESR5 Relay ,Precomm,x,,,,,,,,,SDO_0207.00,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,02,07,01,O_0207-01,1734-OB8S,SDO,24VDC,SL3-MEH-ACP1-ESR6,SL3-MEH-ACP1-ESR6,,Shiploader 3,Machine E-House ACP1,Slew Safety Stop,ESR6 Relay,Shiploader 3 Machine E-House ACP1 Slew Safety Stop ESR6 Relay ,Precomm,x,,,,,,,,,SDO_0207.01,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,02,07,02,O_0207-02,1734-OB8S,SDO,24VDC,SL3-MEH-ACP1-ESR7,SL3-MEH-ACP1-ESR7,,Shiploader 3,Machine E-House ACP1,Slew Safety Stop,ESR7 Relay,Shiploader 3 Machine E-House ACP1 Slew Safety Stop ESR7 Relay ,Precomm,x,,,,,,,,,SDO_0207.02,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,02,07,03,O_0207-03,1734-OB8S,SDO,24VDC,,SPARE,,, ,,,  ,,,,,,,,,,,SDO_0207.03,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,02,07,04,O_0207-04,1734-OB8S,SDO,24VDC,,SPARE,,, ,,,  ,,,,,,,,,,,SDO_0207.04,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,02,07,05,O_0207-05,1734-OB8S,SDO,24VDC,,SPARE,,, ,,,  ,,,,,,,,,,,SDO_0207.05,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,02,07,06,O_0207-06,1734-OB8S,SDO,24VDC,,SPARE,,, ,,,  ,,,,,,,,,,,SDO_0207.06,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,02,07,07,O_0207-07,1734-OB8S,SDO,24VDC,,SPARE,,, ,,,  ,,,,,,,,,,,SDO_0207.07,,,SL3-MEH-ACP1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,SL3-MEH-ACP1,02,08,,FPD-0208,1734-FPD,,,,,,Power Distribution,,,,Power Distribution ,,,,,,,,,,,,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,02,08,00,O_0208-00,1734-OB8S,SDO,24VDC,SL3-MEH-ACP1-ESR8,SL3-MEH-ACP1-ESR8,,Shiploader 3,Machine E-House ACP1,Shuttle Safety Stop,ESR8 Relay Feedback,Shiploader 3 Machine E-House ACP1 Shuttle Safety Stop ESR8 Relay Feedback ,Precomm,x,,,,,,,,,SDO_0208.00,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,02,08,01,O_0208-01,1734-OB8S,SDO,24VDC,SL3-MEH-ACP1-ESR9,SL3-MEH-ACP1-ESR9,,Shiploader 3,Machine E-House ACP1,Shuttle Safety Stop,ESR9 Relay Feedback,Shiploader 3 Machine E-House ACP1 Shuttle Safety Stop ESR9 Relay Feedback ,Precomm,x,,,,,,,,,SDO_0208.01,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,02,08,02,O_0208-02,1734-OB8S,SDO,24VDC,SL3-MEH-ACP1-ESR10,SL3-MEH-ACP1-ESR10,,Shiploader 3,Machine E-House ACP1,Spout Safety Stop,ESR10 Relay Feedback,Shiploader 3 Machine E-House ACP1 Spout Safety Stop ESR10 Relay Feedback ,Precomm,X,,,,,,,,,SDO_0208.02,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,02,08,03,O_0208-03,1734-OB8S,SDO,24VDC,,SPARE,,, ,,,  ,,,,,,,,,,,SDO_0208.03,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,02,08,04,O_0208-04,1734-OB8S,SDO,24VDC,,SPARE,,, ,,,  ,,,,,,,,,,,SDO_0208.04,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,02,08,05,O_0208-05,1734-OB8S,SDO,24VDC,,SPARE,,, ,,,  ,,,,,,,,,,,SDO_0208.05,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,02,08,06,O_0208-06,1734-OB8S,SDO,24VDC,,SPARE,,, ,,,  ,,,,,,,,,,,SDO_0208.06,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,02,08,07,O_0208-07,1734-OB8S,SDO,24VDC,,SPARE,,, ,,,  ,,,,,,,,,,,SDO_0208.07,,,SL3-MEH-ACP1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SL3-MEH-CP1,,,,,,,,,,,,,,,SL3-MEH-CP1 AUX PLC,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,SL3-MEH-CP1,04,00,,PS3-0400,1794-PS3,,120V,,,,,,,,FLEX I/O Power Supply 120V,,,,,,,,,,,,,,SL3-MEH-CP1,,,,
A,SL3-MEH-CP1,04,00,,AENTR-0400,1794-AENTR,,24VDC,,,,,,,,FLEX I/O EtherNet/IP Adapter,,,,,,,,,,,,,,SL3-MEH-CP1,,,,
A,SL3-MEH-CP1,04,00,00,I_0400-00,1794-IA16,DI,120V,,SPARE,,, ,,,  ,,,,,,,,,,,DI_0400.00,,,SL3-MEH-CP1,,,,
A,SL3-MEH-CP1,04,00,01,I_0400-01,1794-IA16,DI,120V,,SPARE,,, ,,,  ,,,,,,,,,,,DI_0400.01,,,SL3-MEH-CP1,,,,
A,SL3-MEH-CP1,04,00,02,I_0400-02,1794-IA16,DI,120V,,SPARE,,, ,,,  ,,,,,,,,,,,DI_0400.02,,,SL3-MEH-CP1,,,,
A,SL3-MEH-CP1,04,00,03,I_0400-03,1794-IA16,DI,120V,,SPARE,,, ,,,  ,,,,,,,,,,,DI_0400.03,,,SL3-MEH-CP1,,,,
A,SL3-MEH-CP1,04,00,04,I_0400-04,1794-IA16,DI,120V,,SPARE,,, ,,,  ,,,,,,,,,,,DI_0400.04,,,SL3-MEH-CP1,,,,
A,SL3-MEH-CP1,04,00,05,I_0400-05,1794-IA16,DI,120V,,SPARE,,, ,,,  ,,,,,,,,,,,DI_0400.05,,,SL3-MEH-CP1,,,,
A,SL3-MEH-CP1,04,00,06,I_0400-06,1794-IA16,DI,120V,,SPARE,,, ,,,  ,,,,,,,,,,,DI_0400.06,,,SL3-MEH-CP1,,,,
A,SL3-MEH-CP1,04,00,07,I_0400-07,1794-IA16,DI,120V,,SPARE,,, ,,,  ,,,,,,,,,,,DI_0400.07,,,SL3-MEH-CP1,,,,
A,SL3-MEH-CP1,04,00,08,I_0400-08,1794-IA16,DI,120V,,SPARE,,, ,,,  ,,,,,,,,,,,DI_0400.08,,,SL3-MEH-CP1,,,,
A,SL3-MEH-CP1,04,00,09,I_0400-09,1794-IA16,DI,120V,,SPARE,,, ,,,  ,,,,,,,,,,,DI_0400.09,,,SL3-MEH-CP1,,,,
A,SL3-MEH-CP1,04,00,10,I_0400-10,1794-IA16,DI,120V,,SPARE,,, ,,,  ,,,,,,,,,,,DI_0400.10,,,SL3-MEH-CP1,,,,
A,SL3-MEH-CP1,04,00,11,I_0400-11,1794-IA16,DI,120V,,SPARE,,, ,,,  ,,,,,,,,,,,DI_0400.11,,,SL3-MEH-CP1,,,,
A,SL3-MEH-CP1,04,00,12,I_0400-12,1794-IA16,DI,120V,,SPARE,,, ,,,  ,,,,,,,,,,,DI_0400.12,,,SL3-MEH-CP1,,,,
A,SL3-MEH-CP1,04,00,13,I_0400-13,1794-IA16,DI,120V,,SPARE,,, ,,,  ,,,,,,,,,,,DI_0400.13,,,SL3-MEH-CP1,,,,
A,SL3-MEH-CP1,04,00,14,I_0400-14,1794-IA16,DI,120V,,SPARE,,, ,,,  ,,,,,,,,,,,DI_0400.14,,,SL3-MEH-CP1,,,,
A,SL3-MEH-CP1,04,00,15,I_0400-15,1794-IA16,DI,120V,,SPARE,,, ,,,  ,,,,,,,,,,,DI_0400.15,,,SL3-MEH-CP1,,,,
A,SL3-MEH-CP1,04,00,,,1492-IFM20F-F120A-2,,120V,,,,,,,,,,,,,,,,,,,,,,SL3-MEH-CP1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,SL3-MEH-CP1,04,01,00,I_0401-00,1794-IA16,DI,120V,,SPARE,,, ,,,  ,,,,,,,,,,,DI_0401.00,,,SL3-MEH-CP1,,,,
A,SL3-MEH-CP1,04,01,01,I_0401-01,1794-IA16,DI,120V,,SPARE,,, ,,,  ,,,,,,,,,,,DI_0401.01,,,SL3-MEH-CP1,,,,
A,SL3-MEH-CP1,04,01,02,I_0401-02,1794-IA16,DI,120V,,SPARE,,, ,,,  ,,,,,,,,,,,DI_0401.02,,,SL3-MEH-CP1,,,,
A,SL3-MEH-CP1,04,01,03,I_0401-03,1794-IA16,DI,120V,,SPARE,,, ,,,  ,,,,,,,,,,,DI_0401.03,,,SL3-MEH-CP1,,,,
A,SL3-MEH-CP1,04,01,04,I_0401-04,1794-IA16,DI,120V,,SPARE,,, ,,,  ,,,,,,,,,,,DI_0401.04,,,SL3-MEH-CP1,,,,
A,SL3-MEH-CP1,04,01,05,I_0401-05,1794-IA16,DI,120V,,SPARE,,, ,,,  ,,,,,,,,,,,DI_0401.05,,,SL3-MEH-CP1,,,,
A,SL3-MEH-CP1,04,01,06,I_0401-06,1794-IA16,DI,120V,,SPARE,,, ,,,  ,,,,,,,,,,,DI_0401.06,,,SL3-MEH-CP1,,,,
A,SL3-MEH-CP1,04,01,07,I_0401-07,1794-IA16,DI,120V,,SPARE,,, ,,,  ,,,,,,,,,,,DI_0401.07,,,SL3-MEH-CP1,,,,
A,SL3-MEH-CP1,04,01,08,I_0401-08,1794-IA16,DI,120V,,SPARE,,, ,,,  ,,,,,,,,,,,DI_0401.08,,,SL3-MEH-CP1,,,,
A,SL3-MEH-CP1,04,01,09,I_0401-09,1794-IA16,DI,120V,,SPARE,,, ,,,  ,,,,,,,,,,,DI_0401.09,,,SL3-MEH-CP1,,,,
A,SL3-MEH-CP1,04,01,10,I_0401-10,1794-IA16,DI,120V,,SPARE,,, ,,,  ,,,,,,,,,,,DI_0401.10,,,SL3-MEH-CP1,,,,
A,SL3-MEH-CP1,04,01,11,I_0401-11,1794-IA16,DI,120V,,SPARE,,, ,,,  ,,,,,,,,,,,DI_0401.11,,,SL3-MEH-CP1,,,,
A,SL3-MEH-CP1,04,01,12,I_0401-12,1794-IA16,DI,120V,,SPARE,,, ,,,  ,,,,,,,,,,,DI_0401.12,,,SL3-MEH-CP1,,,,
A,SL3-MEH-CP1,04,01,13,I_0401-13,1794-IA16,DI,120V,,SPARE,,, ,,,  ,,,,,,,,,,,DI_0401.13,,,SL3-MEH-CP1,,,,
A,SL3-MEH-CP1,04,01,14,I_0401-14,1794-IA16,DI,120V,,SPARE,,, ,,,  ,,,,,,,,,,,DI_0401.14,,,SL3-MEH-CP1,,,,
A,SL3-MEH-CP1,04,01,15,I_0401-15,1794-IA16,DI,120V,,SPARE,,, ,,,  ,,,,,,,,,,,DI_0401.15,,,SL3-MEH-CP1,,,,
A,SL3-MEH-CP1,04,01,,,1492-IFM20F-F120A-2,,120V,,,,,,,,,,,,,,,,,,,,,,SL3-MEH-CP1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,SL3-MEH-CP1,04,02,00,O_0402-00,1794-OA16,DO,120V,SL3-MEH-CP1-C1,SL3-MEH-CP1-C1,,Shiploader 3,Electrical house,PLC Auxiliary panel,Lighting Contactor 1,Shiploader 3 Electrical house PLC Auxiliary panel Lighting Contactor 1 ,Precomm,X,,,,,,,,,DO_0402.00,,,SL3-MEH-CP1,,,,
A,SL3-MEH-CP1,04,02,01,O_0402-01,1794-OA16,DO,120V,SL3-MEH-CP1-C2,SL3-MEH-CP1-C2,,Shiploader 3,Electrical house,PLC Auxiliary panel,Lighting Contactor 2,Shiploader 3 Electrical house PLC Auxiliary panel Lighting Contactor 2 ,Precomm,X,,,,,,,,,DO_0402.01,,,SL3-MEH-CP1,,,,
A,SL3-MEH-CP1,04,02,02,O_0402-02,1794-OA16,DO,120V,,SPARE,,, ,,,  ,,,,,,,,,,,DO_0402.02,,,SL3-MEH-CP1,,,,
A,SL3-MEH-CP1,04,02,03,O_0402-03,1794-OA16,DO,120V,,SPARE,,,,,,,,,,,,,,,,,DO_0402.03,,,SL3-MEH-CP1,,,,
A,SL3-MEH-CP1,04,02,04,O_0402-04,1794-OA16,DO,120V,,SPARE,,,,,,,,,,,,,,,,,DO_0402.04,,,SL3-MEH-CP1,,,,
A,SL3-MEH-CP1,04,02,05,O_0402-05,1794-OA16,DO,120V,,SPARE,,,,,,,,,,,,,,,,,DO_0402.05,,,SL3-MEH-CP1,,,,
A,SL3-MEH-CP1,04,02,06,O_0402-06,1794-OA16,DO,120V,,SPARE,,,,,,,,,,,,,,,,,DO_0402.06,,,SL3-MEH-CP1,,,,
A,SL3-MEH-CP1,04,02,07,O_0402-07,1794-OA16,DO,120V,,SPARE,,,,,,,,,,,,,,,,,DO_0402.07,,,SL3-MEH-CP1,,,,
A,SL3-MEH-CP1,04,02,08,O_0402-08,1794-OA16,DO,120V,SL3-MEH-CP1-C3,SL3-MEH-CP1-C3,,Shiploader 3,Electrical house,PLC Auxiliary panel,Lighting Contactor 3,Shiploader 3 Electrical house PLC Auxiliary panel Lighting Contactor 3 ,Precomm,X,,,,,,,,,DO_0402.08,,,SL3-MEH-CP1,,,,
A,SL3-MEH-CP1,04,02,09,O_0402-09,1794-OA16,DO,120V,,SPARE,,, ,,,  ,,,,,,,,,,,DO_0402.09,,,SL3-MEH-CP1,,,,
A,SL3-MEH-CP1,04,02,10,O_0402-10,1794-OA16,DO,120V,,SPARE,,, ,,,  ,,,,,,,,,,,DO_0402.10,,,SL3-MEH-CP1,,,,
A,SL3-MEH-CP1,04,02,11,O_0402-11,1794-OA16,DO,120V,,SPARE,,, ,,,  ,,,,,,,,,,,DO_0402.11,,,SL3-MEH-CP1,,,,
A,SL3-MEH-CP1,04,02,12,O_0402-12,1794-OA16,DO,120V,,SPARE,,, ,,,  ,,,,,,,,,,,DO_0402.12,,,SL3-MEH-CP1,,,,
A,SL3-MEH-CP1,04,02,13,O_0402-13,1794-OA16,DO,120V,,SPARE,,, ,,,  ,,,,,,,,,,,DO_0402.13,,,SL3-MEH-CP1,,,,
A,SL3-MEH-CP1,04,02,14,O_0402-14,1794-OA16,DO,120V,,SPARE,,, ,,,  ,,,,,,,,,,,DO_0402.14,,,SL3-MEH-CP1,,,,
A,SL3-MEH-CP1,04,02,15,O_0402-15,1794-OA16,DO,120V,,SPARE,,, ,,,  ,,,,,,,,,,,DO_0402.15,,,SL3-MEH-CP1,,,,
A,SL3-MEH-CP1,04,02,,,AB RELAY 700-HLT1L1X,,,,,,,,,,,,,,,,,,,,,,,,SL3-MEH-CP1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SL3-SLW-RCP1,,,,,,,,,,,,,,,SLEW,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,SL3-SLW-RCP1,06,00,,AENT-0600,1734-AENT,,24VDC,,,,,,,,POINT IO EtherNet/IP Adapter,,,,,,,,,,,,,,SL3-SLW-RCP1,,,,
A,SL3-SLW-RCP1,06,01,,FPD-0601,1734-FPD,,,,,,Power Distribution,,,,Power Distribution ,,,,,,,,,,,,,,SL3-SLW-RCP1,,,,
A,SL3-SLW-RCP1,06,01,00,I_0601-00,1734-IB8S,SDI,24VDC,SL3-SLW-RCP1-ESR1,SL3-SLW-RCP1-ESR1-F,-F,Shiploader 3,Slew Motor 1-8 Brakes & Rail Clamps 1-2,Safety Stop,ESR1 Relay Feedback,Shiploader 3 Slew Motor 1-8 Brakes & Rail Clamps 1-2 Safety Stop ESR1 Relay Feedback ,,,,,,,,,,,SDI_0601.00,,,SL3-SLW-RCP1,,,,
A,SL3-SLW-RCP1,06,01,01,I_0601-01,1734-IB8S,SDI,24VDC,,SPARE,,, ,,,  ,,,,,,,,,,,SDI_0601.01,,,SL3-SLW-RCP1,,,,
A,SL3-SLW-RCP1,06,01,02,I_0601-02,1734-IB8S,SDI,24VDC,,SPARE,,, ,,,  ,,,,,,,,,,,SDI_0601.02,,,SL3-SLW-RCP1,,,,
A,SL3-SLW-RCP1,06,01,03,I_0601-03,1734-IB8S,SDI,24VDC,,SPARE,,, ,,,  ,,,,,,,,,,,SDI_0601.03,,,SL3-SLW-RCP1,,,,
A,SL3-SLW-RCP1,06,01,04,I_0601-04,1734-IB8S,SDI,24VDC,SL3-SLW-ES1,SL3-SLW-ES1,,Shiploader 3,Slew Bogies,Emergency Stop,Push Button 1,Shiploader 3 Slew Bogies Emergency Stop Push Button 1 ,,,,,,,,,,,SDI_0601.04,,,SL3-SLW-RCP1,,,,
A,SL3-SLW-RCP1,06,01,05,I_0601-05,1734-IB8S,SDI,24VDC,SL3-SLW-ES2,SL3-SLW-ES2,,Shiploader 3,Slew Bogies,Emergency Stop,Push Button 2,Shiploader 3 Slew Bogies Emergency Stop Push Button 2 ,,,,,,,,,,,SDI_0601.05,,,SL3-SLW-RCP1,,,,
A,SL3-SLW-RCP1,06,01,06,I_0601-06,1734-IB8S,SDI,24VDC,SL3-SLW-ES3,SL3-SLW-ES3,,Shiploader 3,Slew Bogies,Emergency Stop,Push Button 3,Shiploader 3 Slew Bogies Emergency Stop Push Button 3 ,,,,,,,,,,,SDI_0601.06,,,SL3-SLW-RCP1,,,,
A,SL3-SLW-RCP1,06,01,07,I_0601-07,1734-IB8S,SDI,24VDC,SL3-SLW-ES4,SL3-SLW-ES4,,Shiploader 3,Slew Bogies,Emergency Stop,Push Button 4,Shiploader 3 Slew Bogies Emergency Stop Push Button 4 ,,,,,,,,,,,SDI_0601.07,,,SL3-SLW-RCP1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,SL3-SLW-RCP1,06,02,,FPD-0602,1734-FPD,,,,,,Power Distribution,,,,Power Distribution ,,,,,,,,,,,,,,SL3-SLW-RCP1,,,,
A,SL3-SLW-RCP1,06,02,00,I_0602-00,1734-IB8S,SDI,24VDC,SL3-SLW-ZLS1,SL3-SLW-ZLS1,,Shiploader 3,Slew Left,Overtravel,Limit Switch,Shiploader 3 Slew Left Overtravel Limit Switch ,,,,,,,,,,,SDI_0602.00,,,SL3-SLW-RCP1,,,,
A,SL3-SLW-RCP1,06,02,01,I_0602-01,1734-IB8S,SDI,24VDC,SL3-SLW-ZLS2,SL3-SLW-ZLS2,,Shiploader 3,Slew Right,Overtravel,Limit Switch,Shiploader 3 Slew Right Overtravel Limit Switch ,,,,,,,,,,,SDI_0602.01,,,SL3-SLW-RCP1,,,,
A,SL3-SLW-RCP1,06,02,02,I_0602-02,1734-IB8S,SDI,24VDC,,SPARE,,, ,,,  ,,,,,,,,,,,SDI_0602.02,,,SL3-SLW-RCP1,,,,
A,SL3-SLW-RCP1,06,02,03,I_0602-03,1734-IB8S,SDI,24VDC,,SPARE,,, ,,,  ,,,,,,,,,,,SDI_0602.03,,,SL3-SLW-RCP1,,,,
A,SL3-SLW-RCP1,06,02,04,I_0602-04,1734-IB8S,SDI,24VDC,,SPARE,,, ,,,  ,,,,,,,,,,,SDI_0602.04,,,SL3-SLW-RCP1,,,,
A,SL3-SLW-RCP1,06,02,05,I_0602-05,1734-IB8S,SDI,24VDC,,SPARE,,, ,,,  ,,,,,,,,,,,SDI_0602.05,,,SL3-SLW-RCP1,,,,
A,SL3-SLW-RCP1,06,02,06,I_0602-06,1734-IB8S,SDI,24VDC,,SPARE,,, ,,,  ,,,,,,,,,,,SDI_0602.06,,,SL3-SLW-RCP1,,,,
A,SL3-SLW-RCP1,06,02,07,I_0602-07,1734-IB8S,SDI,24VDC,,SPARE,,, ,,,  ,,,,,,,,,,,SDI_0602.07,,,SL3-SLW-RCP1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,SL3-SLW-RCP1,06,03,,FPD-0603,1734-FPD,,,,,,Power Distribution,,,,Power Distribution ,,,,,,,,,,,,,,SL3-SLW-RCP1,,,,
A,SL3-SLW-RCP1,06,03,00,O_0603-00,1734-OB8S,SDO,24VDC,SL3-SLW-RCP1-ESR1,SL3-SLW-RCP1-ESR1,,Shiploader 3,Slew Motor 1-8 Brakes & Rail Clamps 1-2,Safety Stop ESR1, Relay,Shiploader 3 Slew Motor 1-8 Brakes & Rail Clamps 1-2 Safety Stop ESR1  Relay ,,,,,,,,,,,SDO_0603.00,,,SL3-SLW-RCP1,,,,
A,SL3-SLW-RCP1,06,03,01,O_0603-01,1734-OB8S,SDO,24VDC,,SPARE,,, ,,,  ,,,,,,,,,,,SDO_0603.01,,,SL3-SLW-RCP1,,,,
A,SL3-SLW-RCP1,06,03,02,O_0603-02,1734-OB8S,SDO,24VDC,,SPARE,,, ,,,  ,,,,,,,,,,,SDO_0603.02,,,SL3-SLW-RCP1,,,,
A,SL3-SLW-RCP1,06,03,03,O_0603-03,1734-OB8S,SDO,24VDC,,SPARE,,, ,,,  ,,,,,,,,,,,SDO_0603.03,,,SL3-SLW-RCP1,,,,
A,SL3-SLW-RCP1,06,03,04,O_0603-04,1734-OB8S,SDO,24VDC,,SPARE,,, ,,,  ,,,,,,,,,,,SDO_0603.04,,,SL3-SLW-RCP1,,,,
A,SL3-SLW-RCP1,06,03,05,O_0603-05,1734-OB8S,SDO,24VDC,,SPARE,,, ,,,  ,,,,,,,,,,,SDO_0603.05,,,SL3-SLW-RCP1,,,,
A,SL3-SLW-RCP1,06,03,06,O_0603-06,1734-OB8S,SDO,24VDC,,SPARE,,, ,,,  ,,,,,,,,,,,SDO_0603.06,,,SL3-SLW-RCP1,,,,
A,SL3-SLW-RCP1,06,03,07,O_0603-07,1734-OB8S,SDO,24VDC,,SPARE,,, ,,,  ,,,,,,,,,,,SDO_0603.07,,,SL3-SLW-RCP1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,SL3-SLW-RCP1,07,00,,PS3-0700,1794-PS3,,120V,,,,,,,,FLEX I/O Power Supply 120V,,,,,,,,,,,,,,SL3-SLW-RCP1,,,,
A,SL3-SLW-RCP1,07,00,,AENTR-0700,1794-AENTR,,24VDC,,,,,,,,FLEX I/O EtherNet/IP Adapter,,,,,,,,,,,,,,SL3-SLW-RCP1,,,,
A,SL3-SLW-RCP1,07,00,00,I_0700-00,1794-IF4I,AI,4-20mA,,SPARE,,, ,,,  ,,,,,,,,,,,AI_0700_CH[00],,,SL3-SLW-RCP1,,,,
A,SL3-SLW-RCP1,07,00,01,I_0700-01,1794-IF4I,AI,4-20mA,,SPARE,,, ,,,  ,,,,,,,,,,,AI_0700_CH[01],,,SL3-SLW-RCP1,,,,
A,SL3-SLW-RCP1,07,00,02,I_0700-02,1794-IF4I,AI,4-20mA,,SPARE,,, ,,,  ,,,,,,,,,,,AI_0700_CH[02],,,SL3-SLW-RCP1,,,,
A,SL3-SLW-RCP1,07,00,03,I_0700-03,1794-IF4I,AI,4-20mA,,SPARE,,, ,,,  ,,,,,,,,,,,AI_0700_CH[03],,,SL3-SLW-RCP1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,SL3-SLW-RCP1,07,01,00,I_0701-00,1794-IE8,AI,4-20mA,SL3-LU1-PIT1,SL3-LU1-PIT1,,Shiploader 3,Slew Lube Unit 1 End of Line @Left Slew Travel,Line A,Press. Ind. Trans.,Shiploader 3 Slew Lube Unit 1 End of Line @Left Slew Travel Line A Press. Ind. Trans. ,,,,,,,,,,,AI_0701_CH[00],,,SL3-SLW-RCP1,,,,
A,SL3-SLW-RCP1,07,01,01,I_0701-01,1794-IE8,AI,4-20mA,SL3-LU1-PIT2,SL3-LU1-PIT2,,Shiploader 3,Slew Lube Unit 1 End of Line @Left Slew Travel,Line B,Press. Ind. Trans.,Shiploader 3 Slew Lube Unit 1 End of Line @Left Slew Travel Line B Press. Ind. Trans. ,,,,,,,,,,,AI_0701_CH[01],,,SL3-SLW-RCP1,,,,
A,SL3-SLW-RCP1,07,01,02,I_0701-02,1794-IE8,AI,4-20mA,,SPARE,,, ,,,  ,,,,,,,,,,,AI_0701_CH[02],,,SL3-SLW-RCP1,,,,
